,Capital or Revenue,Directorate,Transaction Number,Date,Service Area,Expenses Type,Amount,Supplier Name
10072,Revenue,Childrens Services,Payroll,29.11.2013,Contact & Assessment Team,Staff Vehicle Mileage VAT element,-7.56,REDACTED PERSONAL DATA
10073,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Safeguarding Adults,Staff Vehicle Mileage,62.10,REDACTED PERSONAL DATA
10074,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Safeguarding Adults,Staff Vehicle Mileage VAT element,-3.45,REDACTED PERSONAL DATA
10075,Revenue,Economy & Environment,Payroll,29.11.2013,Media,Staff Vehicle Mileage,11.70,REDACTED PERSONAL DATA
10076,Revenue,Economy & Environment,Payroll,29.11.2013,Media,Staff Vehicle Mileage,5.85,REDACTED PERSONAL DATA
10077,Revenue,Economy & Environment,Payroll,29.11.2013,Media,Staff Vehicle Mileage VAT element,-1.17,REDACTED PERSONAL DATA
10078,Revenue,Childrens Services,Payroll,29.11.2013,Early Help Team,Staff Vehicle Mileage,21.60,REDACTED PERSONAL DATA
10079,Revenue,Childrens Services,Payroll,29.11.2013,Early Help Team,Staff Vehicle Mileage VAT element,-1.20,REDACTED PERSONAL DATA
10080,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,57.60,REDACTED PERSONAL DATA
10081,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-3.20,REDACTED PERSONAL DATA
10082,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal Budgets Team,Staff Vehicle Mileage,16.65,REDACTED PERSONAL DATA
10083,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal Budgets Team,Staff Vehicle Mileage,9.00,REDACTED PERSONAL DATA
10084,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal Budgets Team,Staff Vehicle Mileage VAT element,-1.43,REDACTED PERSONAL DATA
10085,Revenue,Economy & Environment,Payroll,29.11.2013,Deputy Chief Fire Office,Staff Vehicle Mileage,4.05,REDACTED PERSONAL DATA
10086,Revenue,Economy & Environment,Payroll,29.11.2013,Deputy Chief Fire Office,Staff Vehicle Mileage,0.65,REDACTED PERSONAL DATA
10087,Revenue,Resources,Payroll,29.11.2013,Help Centres Shared Service Centre,Staff Vehicle Mileage,10.80,REDACTED PERSONAL DATA
10088,Revenue,Resources,Payroll,29.11.2013,Help Centres Shared Service Centre,Staff Vehicle Mileage VAT element,-0.48,REDACTED PERSONAL DATA
10089,Revenue,Economy & Environment,Payroll,29.11.2013,Strategic Assets Team,Staff Vehicle Mileage,63.00,REDACTED PERSONAL DATA
10090,Revenue,Economy & Environment,Payroll,29.11.2013,Strategic Assets Team,Staff Vehicle Mileage VAT element,-3.50,REDACTED PERSONAL DATA
10091,Revenue,Childrens Services,Payroll,29.11.2013,Education Participation Team,Staff Vehicle Mileage,3.15,REDACTED PERSONAL DATA
10092,Revenue,Childrens Services,Payroll,29.11.2013,Education Participation Team,Staff Vehicle Mileage VAT element,-0.21,REDACTED PERSONAL DATA
10093,Revenue,Economy & Environment,Payroll,29.11.2013,Environment officers,Staff Vehicle Mileage,15.75,REDACTED PERSONAL DATA
10094,Revenue,Economy & Environment,Payroll,29.11.2013,Environment officers,Staff Vehicle Mileage VAT element,-0.70,REDACTED PERSONAL DATA
10095,Revenue,Childrens Services,Payroll,29.11.2013,Referral & Assessment,Staff Vehicle Mileage,93.60,REDACTED PERSONAL DATA
10096,Revenue,Childrens Services,Payroll,29.11.2013,Referral & Assessment,Staff Vehicle Mileage VAT element,-5.20,REDACTED PERSONAL DATA
10097,Revenue,Economy & Environment,Payroll,29.11.2013,Adult contracts,Staff Vehicle Mileage,8.55,REDACTED PERSONAL DATA
10098,Revenue,Economy & Environment,Payroll,29.11.2013,Adult contracts,Staff Vehicle Mileage,8.55,REDACTED PERSONAL DATA
10099,Revenue,Economy & Environment,Payroll,29.11.2013,Adult contracts,Staff Vehicle Mileage VAT element,-0.96,REDACTED PERSONAL DATA
10100,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,"Options,Prevention & Register Team",Staff Vehicle Mileage,9.90,REDACTED PERSONAL DATA
10101,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,"Options,Prevention & Register Team",Staff Vehicle Mileage VAT element,-0.56,REDACTED PERSONAL DATA
10102,Revenue,Childrens Services,Payroll,29.11.2013,Outreach Services,Staff Vehicle Mileage,100.80,REDACTED PERSONAL DATA
10103,Revenue,Childrens Services,Payroll,29.11.2013,Outreach Services,Staff Vehicle Mileage VAT element,-6.72,REDACTED PERSONAL DATA
10104,Revenue,Economy & Environment,Payroll,29.11.2013,Childrens contracts,Staff Vehicle Mileage,24.30,REDACTED PERSONAL DATA
10105,Revenue,Economy & Environment,Payroll,29.11.2013,Childrens contracts,Staff Vehicle Mileage VAT element,-1.36,REDACTED PERSONAL DATA
10106,Revenue,Economy & Environment,Payroll,29.11.2013,Rights of Way Strategy,Staff Vehicle Mileage,120.15,REDACTED PERSONAL DATA
10107,Revenue,Economy & Environment,Payroll,29.11.2013,Rights of Way Operations,Staff Vehicle Mileage VAT element,-6.68,REDACTED PERSONAL DATA
10108,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,76.95,REDACTED PERSONAL DATA
10109,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-5.13,REDACTED PERSONAL DATA
10110,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,90.00,REDACTED PERSONAL DATA
10111,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-6.00,REDACTED PERSONAL DATA
10112,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,FAB Team,Staff Vehicle Mileage,50.40,REDACTED PERSONAL DATA
10113,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,FAB Team,Staff Vehicle Mileage VAT element,-2.80,REDACTED PERSONAL DATA
10114,Revenue,Resources,Payroll,29.11.2013,ICT Strategic Development,Staff Vehicle Mileage,36.00,REDACTED PERSONAL DATA
10115,Revenue,Resources,Payroll,29.11.2013,ICT Strategic Development,Staff Vehicle Mileage VAT element,-3.48,REDACTED PERSONAL DATA
10116,Revenue,Childrens Services,Payroll,29.11.2013,SSEYCCG - Development Worker,Staff Vehicle Mileage,30.60,REDACTED PERSONAL DATA
10117,Revenue,Childrens Services,Payroll,29.11.2013,SSEYCCG - Development Worker,Staff Vehicle Mileage VAT element,-1.70,REDACTED PERSONAL DATA
10118,Revenue,Childrens Services,Payroll,29.11.2013,Referral & Assessment,Staff Vehicle Mileage,187.20,REDACTED PERSONAL DATA
10119,Revenue,Childrens Services,Payroll,29.11.2013,Referral & Assessment,Staff Vehicle Mileage VAT element,-12.48,REDACTED PERSONAL DATA
10120,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,182.25,REDACTED PERSONAL DATA
10121,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-10.13,REDACTED PERSONAL DATA
10122,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Review/Quality Assurance,Staff Vehicle Mileage,61.65,REDACTED PERSONAL DATA
10123,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Review/Quality Assurance,Staff Vehicle Mileage VAT element,-3.43,REDACTED PERSONAL DATA
10124,Revenue,Resources,Payroll,29.11.2013,ICT Compliance & Infrastructure,Staff Vehicle Mileage,91.00,REDACTED PERSONAL DATA
10125,Revenue,Resources,Payroll,29.11.2013,ICT Compliance & Infrastructure,Staff Vehicle Mileage VAT element,-5.46,REDACTED PERSONAL DATA
10126,Revenue,Childrens Services,Payroll,29.11.2013,Pupil Resources Business Support Team,Staff Vehicle Mileage,4.05,REDACTED PERSONAL DATA
10127,Revenue,Childrens Services,Payroll,29.11.2013,Pupil Resources Business Support Team,Staff Vehicle Mileage VAT element,-0.27,REDACTED PERSONAL DATA
10128,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Renewal & Enforcement,Staff Vehicle Mileage,194.85,REDACTED PERSONAL DATA
10129,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Renewal & Enforcement,Staff Vehicle Mileage,109.80,REDACTED PERSONAL DATA
10130,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Renewal & Enforcement,Staff Vehicle Mileage VAT element,-16.93,REDACTED PERSONAL DATA
10131,Revenue,Economy & Environment,Payroll,29.11.2013,Emergency Management,Staff Vehicle Mileage,6.30,REDACTED PERSONAL DATA
10132,Revenue,Economy & Environment,Payroll,29.11.2013,Emergency Management,Staff Vehicle Mileage VAT element,-0.42,REDACTED PERSONAL DATA
10133,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,86.40,REDACTED PERSONAL DATA
10134,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-4.80,REDACTED PERSONAL DATA
10135,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,No-Barriers,Staff Vehicle Mileage,184.95,REDACTED PERSONAL DATA
10136,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,No-Barriers,Staff Vehicle Mileage VAT element,-12.33,REDACTED PERSONAL DATA
10137,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Review/Quality Assurance,Staff Vehicle Mileage,124.20,REDACTED PERSONAL DATA
10138,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Review/Quality Assurance,Staff Vehicle Mileage VAT element,-6.90,REDACTED PERSONAL DATA
10139,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal & Community Development Learning,Staff Vehicle Mileage,43.20,REDACTED PERSONAL DATA
10140,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Personal & Community Development Learning,Staff Vehicle Mileage VAT element,-2.88,REDACTED PERSONAL DATA
10141,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Adult Skills,Staff Vehicle Mileage,78.30,REDACTED PERSONAL DATA
10142,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Adult Skills,Staff Vehicle Mileage VAT element,-4.35,REDACTED PERSONAL DATA
10143,Revenue,Childrens Services,Payroll,29.11.2013,Outreach Services,Staff Vehicle Mileage,48.15,REDACTED PERSONAL DATA
10144,Revenue,Childrens Services,Payroll,29.11.2013,Outreach Services,Staff Vehicle Mileage VAT element,-3.21,REDACTED PERSONAL DATA
10145,Revenue,Childrens Services,Payroll,29.11.2013,Visually Impaired Service,Staff Vehicle Mileage,49.50,REDACTED PERSONAL DATA
10146,Revenue,Childrens Services,Payroll,29.11.2013,Visually Impaired Service,Staff Vehicle Mileage,44.10,REDACTED PERSONAL DATA
10147,Revenue,Childrens Services,Payroll,29.11.2013,Visually Impaired Service,Staff Vehicle Mileage,7.92,REDACTED PERSONAL DATA
10148,Revenue,Childrens Services,Payroll,29.11.2013,Visually Impaired Service,Staff Vehicle Mileage,7.06,REDACTED PERSONAL DATA
10149,Revenue,Childrens Services,Payroll,29.11.2013,Visually Impaired Service,Staff Vehicle Mileage VAT element,-5.20,REDACTED PERSONAL DATA
10150,Revenue,Childrens Services,Payroll,29.11.2013,Pre-school Special Educational Needs,Staff Vehicle Mileage,135.00,REDACTED PERSONAL DATA
10151,Revenue,Childrens Services,Payroll,29.11.2013,Pre-school Special Educational Needs,Staff Vehicle Mileage VAT element,-7.50,REDACTED PERSONAL DATA
10152,Revenue,Economy & Environment,Payroll,29.11.2013,Policy & Conservation,Staff Vehicle Mileage,10.35,REDACTED PERSONAL DATA
10153,Revenue,Economy & Environment,Payroll,29.11.2013,Policy & Conservation,Staff Vehicle Mileage VAT element,-0.58,REDACTED PERSONAL DATA
10154,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Wightcare,Staff Vehicle Mileage,40.50,REDACTED PERSONAL DATA
10155,Revenue,Community Wellbeing & Social Care,Payroll,29.11.2013,Wightcare,Staff Vehicle Mileage VAT element,-2.25,REDACTED PERSONAL DATA
10156,Revenue,Economy & Environment,Payroll,29.11.2013,Commercial Contract Unit,Staff Vehicle Mileage,306.90,REDACTED PERSONAL DATA
10157,Revenue,Economy & Environment,Payroll,29.11.2013,Commercial Contract Unit,Staff Vehicle Mileage,180.90,REDACTED PERSONAL DATA
10158,Revenue,Economy & Environment,Payroll,29.11.2013,Commercial Contract Unit,Staff Vehicle Mileage VAT element,-27.17,REDACTED PERSONAL DATA
10159,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,58.05,REDACTED PERSONAL DATA
10160,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage,48.60,REDACTED PERSONAL DATA
10161,Revenue,Economy & Environment,Payroll,29.11.2013,Parking Attendants,Staff Vehicle Mileage VAT element,-5.93,REDACTED PERSONAL DATA
10162,Revenue,Childrens Services,Payroll,29.11.2013,Children In Need 1,Staff Vehicle Mileage,166.46,REDACTED PERSONAL DATA
10163,Revenue,Childrens Services,Payroll,29.11.2013,Children In Need 1,Staff Vehicle Mileage VAT element,-10.18,REDACTED PERSONAL DATA
10164,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,68.85,REDACTED PERSONAL DATA
10165,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage,11.02,REDACTED PERSONAL DATA
10166,Revenue,Childrens Services,Payroll,29.11.2013,School Music Service,Staff Vehicle Mileage VAT element,-3.83,REDACTED PERSONAL DATA
10167,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage,140.85,REDACTED PERSONAL DATA
10168,Revenue,Childrens Services,Payroll,29.11.2013,Looked After Children Units 5-7,Staff Vehicle Mileage VAT element,-7.83,REDACTED PERSONAL DATA
10169,Revenue,Childrens Services,Payroll,29.11.2013,Pre-school Special Educational Needs,Staff Vehicle Mileage,94.95,REDACTED PERSONAL DATA
10170,Revenue,Childrens Services,Payroll,29.11.2013,Pre-school Special Educational Needs,Staff Vehicle Mileage VAT element,-5.28,REDACTED PERSONAL DATA
10171,Revenue,Economy & Environment,Payroll,29.11.2013,Ecology-Planning Development,Staff Vehicle Mileage,32.40,REDACTED PERSONAL DATA
10172,Revenue,Economy & Environment,Payroll,29.11.2013,Ecology-Planning Development,Staff Vehicle Mileage VAT element,-1.80,REDACTED PERSONAL DATA
10173,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,7.20,REDACTED PERSONAL DATA
10174,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage VAT element,-0.40,REDACTED PERSONAL DATA
10175,Revenue,Economy & Environment,Payroll,29.11.2013,Medina Leisure Centre,Staff Vehicle Mileage,100.35,REDACTED PERSONAL DATA
10176,Revenue,Economy & Environment,Payroll,29.11.2013,Medina Leisure Centre,Staff Vehicle Mileage VAT element,-5.58,REDACTED PERSONAL DATA
10177,Revenue,Economy & Environment,Payroll,29.11.2013,Economic Development,Staff Vehicle Mileage,25.65,REDACTED PERSONAL DATA
10178,Revenue,Economy & Environment,Payroll,29.11.2013,Economic Development,Staff Vehicle Mileage,13.50,REDACTED PERSONAL DATA
10179,Revenue,Economy & Environment,Payroll,29.11.2013,Economic Development,Staff Vehicle Mileage VAT element,-2.19,REDACTED PERSONAL DATA
10180,Revenue,Economy & Environment,Payroll,29.11.2013,Countryside Management,Staff Vehicle Mileage,226.59,REDACTED PERSONAL DATA
10181,Revenue,Economy & Environment,Payroll,29.11.2013,Countryside Management,Staff Vehicle Mileage VAT element,-13.85,REDACTED PERSONAL DATA
10182,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,7.20,REDACTED PERSONAL DATA
10183,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,7.20,REDACTED PERSONAL DATA
10184,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,6.30,REDACTED PERSONAL DATA
10185,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,3.15,REDACTED PERSONAL DATA
10186,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,3.15,REDACTED PERSONAL DATA
10187,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,3.15,REDACTED PERSONAL DATA
10188,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,0.90,REDACTED PERSONAL DATA
10189,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage,0.45,REDACTED PERSONAL DATA
10190,Revenue,Resources,Payroll,29.11.2013,Human Resources,Staff Vehicle Mileage VAT element,-1.77,REDACTED PERSONAL DATA
10191,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage,8.55,REDACTED PERSONAL DATA
10192,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage VAT element,-0.57,REDACTED PERSONAL DATA
10193,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage,50.85,REDACTED PERSONAL DATA
10194,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage,48.15,REDACTED PERSONAL DATA
10195,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage VAT element,-5.51,REDACTED PERSONAL DATA
10196,Revenue,Economy & Environment,Payroll,29.11.2013,Parks & Beaches Admin,Staff Vehicle Mileage,9.45,REDACTED PERSONAL DATA
10197,Revenue,Economy & Environment,Payroll,29.11.2013,Parks & Beaches Admin,Staff Vehicle Mileage VAT element,-0.53,REDACTED PERSONAL DATA
10198,Revenue,Economy & Environment,Payroll,29.11.2013,Sports Development - Admin,Staff Vehicle Mileage,14.40,REDACTED PERSONAL DATA
10199,Revenue,Economy & Environment,Payroll,29.11.2013,Sports Development - Admin,Staff Vehicle Mileage VAT element,-0.96,REDACTED PERSONAL DATA
10200,Capital,Economy & Environment,Payroll,29.11.2013,Ryde Harbour,Staff Vehicle Mileage,6.75,REDACTED PERSONAL DATA
10201,Capital,Economy & Environment,Payroll,29.11.2013,Ryde Harbour,Staff Vehicle Mileage VAT element,-0.38,REDACTED PERSONAL DATA
10202,Revenue,Economy & Environment,Payroll,29.11.2013,Commercial Sales Team,Staff Vehicle Mileage,79.20,REDACTED PERSONAL DATA
10203,Revenue,Economy & Environment,Payroll,29.11.2013,Commercial Sales Team,Staff Vehicle Mileage VAT element,-4.40,REDACTED PERSONAL DATA
10204,Revenue,Economy & Environment,Payroll,29.11.2013,School Reorganisation Consultation Costs,Staff Vehicle Mileage,275.40,REDACTED PERSONAL DATA
10205,Revenue,Economy & Environment,Payroll,29.11.2013,School Reorganisation Consultation Costs,Staff Vehicle Mileage VAT element,-18.36,REDACTED PERSONAL DATA
10206,Revenue,Resources,Payroll,29.11.2013,Electoral Registration Office,Staff Vehicle Mileage,6.30,REDACTED PERSONAL DATA
10207,Revenue,Resources,Payroll,29.11.2013,Local Land Charges,Staff Vehicle Mileage VAT element,-0.21,REDACTED PERSONAL DATA
10208,Revenue,Resources,Payroll,29.11.2013,Electoral Registration Office,Staff Vehicle Mileage VAT element,-0.21,REDACTED PERSONAL DATA
10209,Revenue,Economy & Environment,Payroll,29.11.2013,IW Biological Record Centre,Staff Vehicle Mileage,7.65,REDACTED PERSONAL DATA
10210,Revenue,Economy & Environment,Payroll,29.11.2013,IW Biological Record Centre,Staff Vehicle Mileage VAT element,-0.43,REDACTED PERSONAL DATA
10211,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage,125.10,REDACTED PERSONAL DATA
10212,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage,118.80,REDACTED PERSONAL DATA
10213,Revenue,Economy & Environment,Payroll,29.11.2013,Leisure Management & Admin,Staff Vehicle Mileage VAT element,-13.55,REDACTED PERSONAL DATA
